variable,JAX_rmse,JAX_mae,Pytorch_rmse,Pytorch_mae
10u,0.86150277,0.62607104,0.61469364,0.43566522
10v,0.88877034,0.6459146,0.6317561,0.45018357
2t,0.82018,0.5577775,0.6119513,0.38016003
msl,62.481464,45.536236,39.091496,28.502464
q_1000,0.00036578838,0.00024297001,0.00035761978,0.00023604538
q_925,0.00048615717,0.0003120303,0.00047924076,0.000306821
q_850,0.0005438991,0.00035641037,0.0005396544,0.00035278793
q_700,0.0004353678,0.0002674668,0.00043169234,0.00026405414
q_600,0.00035051862,0.00020568282,0.0003286793,0.00018533232
q_500,0.00022845982,0.00012857652,0.00021488091,0.00011493603
q_400,0.00012476435,6.77E-05,0.00011597818,6.00E-05
q_300,4.20E-05,2.09E-05,4.13E-05,2.06E-05
q_250,1.77E-05,8.42E-06,1.76E-05,8.36E-06
q_200,4.79E-06,2.25E-06,4.77E-06,2.24E-06
q_150,7.50E-07,3.76E-07,7.46E-07,3.74E-07
q_100,7.87E-08,4.33E-08,7.83E-08,4.31E-08
q_50,1.31E-08,9.11E-09,1.32E-08,9.14E-09
t_1000,0.5954228,0.41985956,0.5430557,0.37332186
t_925,0.55981356,0.39023662,0.5154432,0.35499245
t_850,0.55161256,0.40272123,0.51871186,0.37535456
t_700,0.43003377,0.32260525,0.3804698,0.28504378
t_600,0.44256377,0.3337131,0.36164337,0.2682746
t_500,0.42619792,0.31919143,0.34060213,0.2532021
t_400,0.45170343,0.33924675,0.36272824,0.2713922
t_300,0.3854793,0.27964628,0.34637794,0.2537282
t_250,0.37696517,0.27330157,0.35807312,0.25988895
t_200,0.3907236,0.28222665,0.37858018,0.27289063
t_150,0.41124877,0.31064644,0.4085022,0.30709523
t_100,0.5408682,0.39713487,0.5419423,0.3976425
t_50,0.6139726,0.46152157,0.61599606,0.46342137
u_1000,0.76033837,0.54642195,0.7029661,0.49874464
u_925,0.9349006,0.66598964,0.8921825,0.6289777
u_850,0.9997743,0.72515756,0.97534984,0.7051439
u_700,1.0741936,0.7858642,1.0374165,0.751593
u_600,1.2156378,0.898446,1.0604059,0.75911075
u_500,1.3787369,1.0109022,1.1445806,0.8208344
u_400,1.5748323,1.1638923,1.2802608,0.9374044
u_300,1.6102432,1.1885253,1.4334575,1.0434436
u_250,1.4786583,1.0833145,1.4165915,1.0260214
u_200,1.411519,1.0345813,1.3828108,1.0125754
u_150,1.4435502,1.0582632,1.4469175,1.0619731
u_100,1.2840127,0.95106894,1.2747383,0.9426001
u_50,1.080973,0.8091005,1.0716387,0.80159616
v_1000,0.77567255,0.55754954,0.7169397,0.5104446
v_925,0.9195619,0.64865065,0.88155603,0.6203351
v_850,1.0107433,0.7334948,0.98835385,0.7149697
v_700,1.0920522,0.7858919,1.0631522,0.7653207
v_600,1.2258117,0.90981877,1.0497304,0.7640668
v_500,1.4310943,1.0622345,1.1890049,0.8610344
v_400,1.6537302,1.2258373,1.3399925,0.9967101
v_300,1.7165054,1.2731206,1.5206767,1.1254073
v_250,1.4781668,1.0977684,1.4222544,1.0534807
v_200,1.4118897,1.0418961,1.3830799,1.0191891
v_150,1.4811336,1.090892,1.47262,1.0833098
v_100,1.3084357,0.9690379,1.3021855,0.9651354
v_50,1.0574487,0.8098184,1.0538012,0.80670965
z_1000,37.608578,27.921623,33.582905,25.133352
z_925,33.28287,24.694948,30.249605,22.712315
z_850,31.132938,23.312292,28.583603,21.49647
z_700,29.843216,22.651081,27.580647,20.94571
z_600,32.537712,24.576616,26.998411,20.562252
z_500,40.152557,29.539326,29.664932,22.406212
z_400,49.229202,35.71289,33.704792,25.389963
z_300,49.89833,37.389896,36.938393,27.825527
z_250,47.0073,35.92176,37.48455,28.587864
z_200,44.28469,34.614517,38.642143,29.975002
z_150,40.87737,31.808683,39.058674,30.595495
z_100,43.51191,33.446278,43.09423,33.34
z_50,48.93945,38.35906,49.88949,39.102146